,Province_State,Date,Confirmed Cases,new_cases,Confirmed_Cases_log,7day_avg,14day_avg,21day_avg
25562,New York,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
22012,Nebraska,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
21302,Montana,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
24142,New Jersey,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
4262,Colorado,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
1422,American Samoa,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
14202,Kansas,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
37632,Virginia,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
712,Alaska,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
23432,New Hampshire,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
22722,Nevada,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
38342,Washington,2020-01-24,1,0.0,0.6931471805599453,0.0,0.0,0.0
28402,Ohio,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
15622,Louisiana,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
39762,Wisconsin,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
2,Alabama,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
29112,Oklahoma,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
36212,Vermont,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
36922,Virgin Islands,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
34082,Tennessee,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
17752,Massachusetts,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
7102,District of Columbia,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
9942,Guam,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
34792,Texas,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
7812,Florida,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
19172,Minnesota,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
18462,Michigan,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
6392,Diamond Princess,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
17042,Maryland,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
29822,Oregon,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
16332,Maine,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
19882,Mississippi,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
12782,Indiana,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
2132,Arizona,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
4972,Connecticut,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
40472,Wyoming,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
30532,Pennsylvania,2020-01-24,0,0.0,0.0,0.0,0.0,0.0
4973,Connecticut,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
32663,South Carolina,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
17043,Maryland,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
37633,Virginia,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
1423,American Samoa,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
2133,Arizona,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
39053,West Virginia,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
21303,Montana,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
24143,New Jersey,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
29823,Oregon,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
4263,Colorado,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
17753,Massachusetts,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
18463,Michigan,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
24853,New Mexico,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
14913,Kentucky,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
36213,Vermont,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
29113,Oklahoma,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
39763,Wisconsin,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
3553,California,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
19883,Mississippi,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
16333,Maine,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
10653,Hawaii,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
15623,Louisiana,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
30533,Pennsylvania,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
19173,Minnesota,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
20593,Missouri,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
31243,Puerto Rico,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
9943,Guam,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
5683,Delaware,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
35503,Utah,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
9233,Grand Princess,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
7103,District of Columbia,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
36923,Virgin Islands,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
27693,Northern Mariana Islands,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
23433,New Hampshire,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
38343,Washington,2020-01-25,1,0.0,0.6931471805599453,0.0,0.0,0.0
28403,Ohio,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
26983,North Dakota,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
713,Alaska,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
2843,Arkansas,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
31953,Rhode Island,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
